country_name,year,time,deaths
Australia,2015,1,2925
Australia,2015,2,2772
Australia,2015,3,2771
Australia,2015,4,2768
Australia,2015,5,2680
Australia,2015,6,2879
Australia,2015,7,2749
Australia,2015,8,2741
Australia,2015,9,2788
Australia,2015,10,2846
Australia,2015,11,2738
Australia,2015,12,2829
Australia,2015,13,2812
Australia,2015,14,2849
Australia,2015,15,2963
Australia,2015,16,2877
Australia,2015,17,2997
Australia,2015,18,3042
Australia,2015,19,3082
Australia,2015,20,3074
Australia,2015,21,2990
Australia,2015,22,3033
Australia,2015,23,3112
Australia,2015,24,3139
Australia,2015,25,3091
Australia,2015,26,3157
Australia,2015,27,3222
Australia,2015,28,3356
Australia,2015,29,3347
Australia,2015,30,3362
Australia,2015,31,3399
Australia,2015,32,3399
Australia,2015,33,3468
Australia,2015,34,3532
Australia,2015,35,3359
Australia,2015,36,3478
Australia,2015,37,3359
Australia,2015,38,3310
Australia,2015,39,3152
Australia,2015,40,3110
Australia,2015,41,3069
Australia,2015,42,2991
Australia,2015,43,2916
Australia,2015,44,2899
Australia,2015,45,2891
Australia,2015,46,2775
Australia,2015,47,2878
Australia,2015,48,2866
Australia,2015,49,2815
Australia,2015,50,2888
Australia,2015,51,2811
Australia,2015,52,2730
Australia,2015,53,2832
Australia,2016,1,2799
Australia,2016,2,2879
Australia,2016,3,2841
Australia,2016,4,2678
Australia,2016,5,2825
Australia,2016,6,2736
Australia,2016,7,2747
Australia,2016,8,2773
Australia,2016,9,2738
Australia,2016,10,2822
Australia,2016,11,2769
Australia,2016,12,2853
Australia,2016,13,2829
Australia,2016,14,2946
Australia,2016,15,2934
Australia,2016,16,2872
Australia,2016,17,2866
Australia,2016,18,2853
Australia,2016,19,2958
Australia,2016,20,2975
Australia,2016,21,3170
Australia,2016,22,3164
Australia,2016,23,3273
Australia,2016,24,3051
Australia,2016,25,3200
Australia,2016,26,3253
Australia,2016,27,3332
Australia,2016,28,3334
Australia,2016,29,3310
Australia,2016,30,3339
Australia,2016,31,3298
Australia,2016,32,3362
Australia,2016,33,3463
Australia,2016,34,3455
Australia,2016,35,3483
Australia,2016,36,3336
Australia,2016,37,3291
Australia,2016,38,3172
Australia,2016,39,3232
Australia,2016,40,3198
Australia,2016,41,3172
Australia,2016,42,3161
Australia,2016,43,3124
Australia,2016,44,3073
Australia,2016,45,3123
Australia,2016,46,2959
Australia,2016,47,3024
Australia,2016,48,2895
Australia,2016,49,2753
Australia,2016,50,2909
Australia,2016,51,2934
Australia,2016,52,2920
Australia,2017,1,2895
Australia,2017,2,2897
Australia,2017,3,2806
Australia,2017,4,2887
Australia,2017,5,2745
Australia,2017,6,2911
Australia,2017,7,2849
Australia,2017,8,2958
Australia,2017,9,2909
Australia,2017,10,3017
Australia,2017,11,2785
Australia,2017,12,2885
Australia,2017,13,2858
Australia,2017,14,2988
Australia,2017,15,2966
Australia,2017,16,3011
Australia,2017,17,3011
Australia,2017,18,2963
Australia,2017,19,3108
Australia,2017,20,3091
Australia,2017,21,3173
Australia,2017,22,3203
Australia,2017,23,3263
Australia,2017,24,3266
Australia,2017,25,3232
Australia,2017,26,3313
Australia,2017,27,3468
Australia,2017,28,3504
Australia,2017,29,3700
Australia,2017,30,3634
Australia,2017,31,3749
Australia,2017,32,3734
Australia,2017,33,3673
Australia,2017,34,3668
Australia,2017,35,3844
Australia,2017,36,3621
Australia,2017,37,3697
Australia,2017,38,3603
Australia,2017,39,3338
Australia,2017,40,3283
Australia,2017,41,3184
Australia,2017,42,3075
Australia,2017,43,2972
Australia,2017,44,3015
Australia,2017,45,2871
Australia,2017,46,2947
Australia,2017,47,2896
Australia,2017,48,2882
Australia,2017,49,2921
Australia,2017,50,2975
Australia,2017,51,2914
Australia,2017,52,2775
Australia,2018,1,2819
Australia,2018,2,2828
Australia,2018,3,2764
Australia,2018,4,2884
Australia,2018,5,2885
Australia,2018,6,2724
Australia,2018,7,2825
Australia,2018,8,2857
Australia,2018,9,2858
Australia,2018,10,2882
Australia,2018,11,2879
Australia,2018,12,2871
Australia,2018,13,2939
Australia,2018,14,2784
Australia,2018,15,2828
Australia,2018,16,2965
Australia,2018,17,2840
Australia,2018,18,3021
Australia,2018,19,3148
Australia,2018,20,3133
Australia,2018,21,3253
Australia,2018,22,3199
Australia,2018,23,3301
Australia,2018,24,3130
Australia,2018,25,3254
Australia,2018,26,3310
Australia,2018,27,3375
Australia,2018,28,3214
Australia,2018,29,3376
Australia,2018,30,3467
Australia,2018,31,3287
Australia,2018,32,3209
Australia,2018,33,3375
Australia,2018,34,3354
Australia,2018,35,3449
Australia,2018,36,3313
Australia,2018,37,3111
Australia,2018,38,3152
Australia,2018,39,3143
Australia,2018,40,3137
Australia,2018,41,3155
Australia,2018,42,3091
Australia,2018,43,2983
Australia,2018,44,3032
Australia,2018,45,3000
Australia,2018,46,2903
Australia,2018,47,2991
Australia,2018,48,2959
Australia,2018,49,2965
Australia,2018,50,2990
Australia,2018,51,2935
Australia,2018,52,2945
Australia,2019,1,2968
Australia,2019,2,2997
Australia,2019,3,3041
Australia,2019,4,2957
Australia,2019,5,2890
Australia,2019,6,2958
Australia,2019,7,2960
Australia,2019,8,3095
Australia,2019,9,3008
Australia,2019,10,2926
Australia,2019,11,3010
Australia,2019,12,2920
Australia,2019,13,3005
Australia,2019,14,2963
Australia,2019,15,3066
Australia,2019,16,3051
Australia,2019,17,3016
Australia,2019,18,3020
Australia,2019,19,3202
Australia,2019,20,3219
Australia,2019,21,3285
Australia,2019,22,3357
Australia,2019,23,3357
Australia,2019,24,3460
Australia,2019,25,3416
Australia,2019,26,3427
Australia,2019,27,3451
Australia,2019,28,3351
Australia,2019,29,3457
Australia,2019,30,3491
Australia,2019,31,3340
Australia,2019,32,3476
Australia,2019,33,3443
Australia,2019,34,3524
Australia,2019,35,3443
Australia,2019,36,3500
