valence,year,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo
0.875,1969,0.0509,0.519,0.897,0.0615,10,0.075,-8.44,0,0.196,160
0.374,2010,0.062,0.305,0.77,0.203,2,0.0976,-6.694,1,0.0276,107.367
0.7659999999999999,1982,0.0477,0.47,0.371,0.8490000000000001,10,0.0697,-15.539,1,0.038,80.29
0.94,1978,0.179,0.7170000000000001,0.77,0,0,0.1,-7.61,1,0.0442,122.822
0.929,1998,0.348,0.639,0.506,1.15e-6,5,0.16699999999999998,-9.232,1,0.131,89.854
0.868,1964,0.7490000000000001,0.522,0.7,2.4e-5,7,0.113,-7.572999999999999,0,0.0397,100.278
0.36,1956,0.967,0.529,0.11,0.0132,5,0.111,-17.472,0,0.0427,70.325
0.317,2012,0.486,0.503,0.508,0.0102,10,0.124,-11.094,0,0.52,81.908
0.703,1942,0.996,0.578,0.0954,0.51,1,0.0988,-16.176,1,0.12,129.809
0.67,1961,0.758,0.597,0.7559999999999999,0.942,5,0.191,-6.456,1,0.0455,128.586
0.789,1953,0.101,0.562,0.794,0.0312,2,0.0912,-5.027,0,0.0324,115.601
0.149,1945,0.912,0.332,0.0714,3.67e-5,5,0.129,-15.69,1,0.0352,81.374
0.949,1978,0.21,0.823,0.84,0.0022,2,0.0614,-7.438,1,0.0349,120.955
0.282,1931,0.625,0.628,0.175,0,11,0.129,-21.5,0,0.958,167.357
0.5429999999999999,2015,0.113,0.476,0.857,0,7,0.135,-5.733,1,0.0432,169.975
0.359,1970,0.85,0.609,0.17600000000000002,4.08e-5,0,0.157,-12.071,1,0.041,157.65
0.677,1976,0.027,0.302,0.936,0.267,7,0.529,-6.823,0,0.0878,166.525
0.292,1976,0.506,0.254,0.271,0.846,7,0.085,-13.555,0,0.0318,129.78799999999998
0.6859999999999999,2020,0.17800000000000002,0.804,0.856,1.18e-6,5,0.102,-5.107,1,0.173,140.019
0.7390000000000001,1992,0.14400000000000002,0.831,0.79,3.01e-6,10,0.65,-7.608,0,0.277,90.139
0.311,2001,0.0646,0.738,0.684,0,4,0.534,-8.527000000000001,0,0.388,81.296
0.094,1953,0.899,0.14300000000000002,0.287,0.935,7,0.345,-16.574,0,0.0362,102.357
0.125,1977,0.78,0.272,0.0448,0,0,0.0785,-22.925,1,0.0386,52.597
0.191,1977,0.7859999999999999,0.297,0.3720000000000001,0.88,0,0.0758,-11.987,1,0.0331,57.633
0.7959999999999999,1984,0.0133,0.713,0.753,0.0101,6,0.313,-11.864,1,0.0844,127.854
